latitude,longitude,depth,magnitude,exponent
-29.25,-176.96,47.8,7.26,26
-13.42,-75.14,85.4,5.69,24
51.45,159.5,15,6.13,25
-15.97,167.81,173.7,6.33,25
66.33,-16.29,15,6.28,25
-29.69,-177.04,46.7,7.79,27
-28.72,-176.75,17.7,7.88,27
-28.61,-176.62,15,6.37,25
-30.25,-176.63,15,6.13,25
-30.25,-176.99,15,5.92,24
44.58,149.49,26.5,7.16,26
-7.37,120.07,623.1,6.73,26
-28.79,-177.17,60.2,6.21,25
-28.27,-177.18,62,5.33,24
54.25,162.16,48,5.82,24
15.14,-89.78,16.3,7.47,27
-6.04,146.1,29.5,5.98,25
-57.22,-64.94,16.9,5.84,24
13.12,126.02,15.6,6.48,25
-28.52,-176.47,15,6.05,25
-3.44,145.61,25.3,5.48,24
51.63,-130.93,22.5,5.97,25
-40.3,-75.57,15,5.92,24
-8.47,121.69,38.7,5.66,24
-14.91,166.95,103,6.9,26
-10.87,164.93,29.7,6.07,25
-6.49,154.55,47.7,6.16,25
-29.99,-177.51,54.1,7.03,26
3.87,-85.8,17.5,6.6,26
-3.72,152.17,15,6.35,25
40.41,63.65,15,6.64,26
41.48,63.54,42.9,6.11,25
0.79,-79.89,19.4,6.63,26
-6.5,154.63,40.6,5.33,24
-52.1,139.46,15,6.03,25
28.49,52.08,15,5.64,24
-28.06,-176.35,15,6.15,25
-44.75,167.63,15,6.53,25
-29.84,-177.43,41.8,7.03,26
46.33,13.17,15,6.47,25
-51.73,139.71,15,5.9,24
-51.67,140.13,15,6.35,25
36.99,20.13,15.1,6.42,25
-11.72,-74.26,25.5,6.75,26
40.42,63.46,15,6.7,26
-60.73,153.75,25.8,6.36,25
24.39,98.65,15,6.66,26
24.29,98.58,15,6.63,26
-42.06,-75.94,15,6.09,25
24.26,98.6,15,6.07,25
-4.75,153.47,85.9,7.12,26
-10.15,160.93,47.4,6.26,25
14.23,125.07,24.4,6.55,25
17.22,-100.91,29,6.42,25
0.54,134.84,20.2,6.45,25
46.05,12.5,45.5,5.19,23
-17.58,65.59,16.2,6.37,25
3.18,96.24,19.1,6.97,26
-4.66,140.29,15,7.14,26
3.77,127.06,18,6.48,25
-33.63,-177.63,55.2,6.19,25
7.19,-78.29,15,6.75,26
7.32,-78.11,15,7.26,26
-8.14,114.89,28.4,6.47,25
-4.27,152.71,36.5,6.56,25
24.74,98.57,15,6.13,25
-21.76,-113.44,15,5.48,24
5.08,118.55,15,6.27,25
