date,magnitude,latitude,longitude,depth,location
1/1/2010,4.0999999999999996,16.010000000000002,-98.200000000000003,3,"40 km al SUROESTE de PINOTEPA NACIONAL, OAX"
1/1/2010,4,15.890000000000001,-97.280000000000001,25,"21 km al SURESTE de RIO GRANDE, OAX"
1/2/2010,4.2999999999999998,13.92,-92.689999999999998,5,"102 km al SUROESTE de CD HIDALGO, CHIS"
1/2/2010,4.0999999999999996,16.920000000000002,-95.519999999999996,142,"51 km al OESTE de MATIAS ROMERO, OAX"
1/3/2010,4.0999999999999996,15.859999999999999,-97.290000000000006,10,"23 km al SURESTE de RIO GRANDE, OAX"
1/3/2010,4,16.329999999999998,-99.549999999999997,20,"54 km al SUROESTE de SAN MARCOS, GRO"
1/3/2010,4,18.57,-101.25,49,"38 km al OESTE de HUETAMO, MICH"
1/3/2010,4,16.59,-98.670000000000002,20,"30 km al SUROESTE de OMETEPEC, GRO"
1/3/2010,4,16.469999999999999,-99.5,7,"38 km al SUROESTE de SAN MARCOS, GRO"
1/4/2010,4.4000000000000004,14.130000000000001,-92.519999999999996,35,"73 km al SUROESTE de CD HIDALGO, CHIS"
1/4/2010,4.2999999999999998,18.699999999999999,-106.88,10,"251 km al OESTE de CIHUATLAN, JAL"
1/4/2010,4.0999999999999996,16.899999999999999,-94.659999999999997,153,"41 km al ESTE de MATIAS ROMERO, OAX"
1/5/2010,5,13.869999999999999,-92.430000000000007,18,"94 km al SUROESTE de CD HIDALGO, CHIS"
1/5/2010,4,18.23,-100.09,49,"23 km al SURESTE de ARCELIA, GRO"
1/6/2010,4.7000000000000002,17.02,-100.84999999999999,24,"32 km al SUROESTE de TECPAN, GRO"
1/6/2010,4.4000000000000004,13.85,-92.299999999999997,63,"93 km al SUR de CD HIDALGO, CHIS"
1/6/2010,4.2000000000000002,14.91,-95.700000000000003,18,"106 km al SURESTE de CRUCECITA, OAX"
1/6/2010,4.0999999999999996,17.100000000000001,-101.17,13,"50 km al SUR de PETATLAN, GRO"
