"utc_date","latitude","longitude","depth","magnitude"
"1/2/2010","-15.4418","-75.4139","45","4.5"
"1/2/2010","-18.5505","-69.9811","30","4.5"
"1/3/2010","-16.9668","-75.1272","56","4.7"
"1/3/2010","-8.999","-77.9599","130","5.9"
"1/5/2010","-16.5155","-74.2936","54","5.3"
"1/5/2010","-10.8887","-78.1506","45","4.6"
"1/7/2010","-7.2809","-81.4222","20","4.5"
"1/8/2010","-10.6185","-78.5543","31","4.5"
"1/10/2010","-18.6808","-71.0509","35","4.5"
"1/11/2010","-5.3036","-79.1263","46","4.5"
"1/11/2010","-15.868","-73.3419","59","4.5"
"1/12/2010","-13.2148","-75.0412","104","4.5"
"1/16/2010","-5.2365","-80.7047","48","4.7"
"1/16/2010","-8.9857","-74.8936","112","4.9"
"1/17/2010","-17.559","-69.2779","32","5"
"1/17/2010","-18.3699","-69.9129","58","4.8"
"1/17/2010","-4.0393","-78.262","117","4.6"
"1/18/2010","-14.1065","-75.5697","73","4.7"
"1/19/2010","-12.782","-76.507","68","4.5"
"1/20/2010","-13.5926","-76.984","44","4.6"
"1/24/2010","-13.575","-75.1801","102","4.6"
"1/25/2010","-18.3529","-70.8217","58","4.5"
"1/25/2010","-8.4678","-74.7332","154","6.1"
"1/26/2010","-16.0549","-71.0079","184","5.1"
"1/28/2010","-8.1703","-74.6687","160","4.9"
"1/28/2010","-7.3818","-80.7647","50","4.5"
"1/31/2010","-17.7793","-70.1327","200","5.1"
"1/31/2010","-16.328","-73.3238","80","4.5"
"2/3/2010","-11.0814","-74.6453","36","4.8"
"2/4/2010","-16.1579","-72.4973","121","4.9"
"2/4/2010","-17.1735","-73.7309","40","5.2"
"2/5/2010","-15.2872","-71.7921","147","4.5"
"2/5/2010","-16.651","-71.9664","27","4.5"
"2/6/2010","-16.9546","-73.7584","15","5.2"
"2/10/2010","-16.194","-70.274","189","4.3"
"2/10/2010","-13.7699","-77.064","33","4.8"
"2/10/2010","-11.0557","-78.6701","39","4.6"
"2/11/2010","-10.2139","-79.9595","26","4.5"
"2/13/2010","-14.9644","-73.2294","81","4.5"
"2/13/2010","-4.915","-80.352","43","4.7"
"2/16/2010","-16.1668","-73.4178","50","4.5"
"2/17/2010","-10.2313","-75.5787","14","4.5"
"2/18/2010","-10.4598","-79.1454","16","4.6"
"2/18/2010","-16.8346","-69.619","203","4.5"
"2/18/2010","-4.8956","-77.371","153","5.1"
"2/21/2010","-16.5454","-74.064","52","4.5"
"2/21/2010","-14.1925","-76.7927","16","4.6"
"2/22/2010","-9.2719","-79.556","56","4.5"
"2/26/2010","-18.112","-69.7526","132","4.5"
"2/27/2010","-14.1305","-75.9676","60","4.8"
"2/28/2010","-14.409","-73.6533","63","4.9"
"2/28/2010","-13.551","-76.7283","46","4.5"
"3/1/2010","-14.8868","-76.2251","37","4.9"
"3/1/2010","-8.4145","-74.6395","21","5"
"3/2/2010","-18.1782","-69.8181","119","4.9"
"3/3/2010","-16.5022","-74.063","36","4.5"
"3/3/2010","-7.7049","-74.1961","93","4.8"
"3/7/2010","-8.6209","-75.84","139","4.6"
"3/10/2010","-8.8805","-80.1763","55","4.5"
"3/10/2010","-12.7349","-76.8667","62","4.7"
"3/11/2010","-13.4417","-76.5711","64","4.7"
"3/13/2010","-16.4349","-70.5071","189","4.6"
"3/14/2010","-15.476","-72.3975","129","4.5"
"3/14/2010","-3.9393","-81.0751","42","4.5"
"3/15/2010","-17.9757","-69.7822","15","5.3"
"3/16/2010","-10.7732","-77.2125","73","4.7"
"3/19/2010","-14.291","-74.5886","133","5.2"
"3/22/2010","-16.0917","-69.6619","202","5.3"
"3/23/2010","-15.3244","-75.0052","82","5.6"
"3/24/2010","-3.0419","-77.1746","60","4.9"
"3/27/2010","-6.4792","-80.3011","34","4.5"
"3/27/2010","-15.4289","-73.0399","51","5"
"3/27/2010","-4.762","-80.73","50","5"
"3/27/2010","-15.5839","-74.7038","75","4.6"
"3/28/2010","-10.5635","-78.7869","41","5.7"
"3/28/2010","-4.9388","-80.8846","19","4.5"
"3/28/2010","-15.9688","-74.3614","20","4.6"
"3/30/2010","-16.7941","-69.8958","195","4.9"
"3/30/2010","-15.6448","-71.0891","182","4.5"
"3/30/2010","-5.5323","-77.1883","44","4.5"
"4/2/2010","-15.3246","-72.2612","124","4.6"
"4/2/2010","-9.9242","-75.4886","118","4.5"
"4/2/2010","-15.1333","-76.0228","29","4.5"
"4/4/2010","-10.704","-77.6586","35","4.7"
"4/4/2010","-10.3258","-78.3312","53","4.8"
"4/5/2010","-14.2521","-75.7869","53","4.5"
"4/5/2010","-4.0731","-75.7734","159","4.5"
"4/6/2010","-8.7498","-80.7895","47","4.5"
"4/8/2010","-8.598","-77.0019","48","4.5"
"4/9/2010","-12.7862","-76.1264","94","4.6"
"4/10/2010","-4.6032","-76.9636","202","4.9"
"4/11/2010","-4.4075","-77.4908","30","4.5"
"4/12/2010","-4.0466","-77.5169","158","5.3"
"4/12/2010","-13.7182","-77.2473","16","4.6"
"4/12/2010","-14.2241","-76.8327","33","4.8"
"4/13/2010","-10.5463","-77.9695","77","4.8"
"4/13/2010","-13.758","-75.8602","79","4.7"
"4/14/2010","-10.9498","-77.2437","42","4.5"
"4/15/2010","-14.293","-76.6262","20","4.6"
"4/15/2010","-10.195","-79.8051","26","4.5"
"4/18/2010","-17.5293","-70.2018","139","4.8"
"4/18/2010","-13.5843","-77.0111","45","4.9"
"4/19/2010","-8.432","-79.5199","57","4.7"
"4/20/2010","-17.294","-69.3942","57","5"
"4/20/2010","-12.3578","-77.2924","40","4.8"
"4/20/2010","-14.5696","-76.2209","42","4.9"
"4/21/2010","-6.2271","-76.9788","29","4.8"
"4/21/2010","-6.0589","-76.9439","19","4.7"
"4/22/2010","-15.4072","-73.6605","47","4.7"
"4/23/2010","-18.6101","-69.9461","75","5.2"
"4/23/2010","-9.6977","-76.1966","167","4.9"
"4/24/2010","-18.5178","-70.5051","92","5"
"4/25/2010","-3.5054","-77.9773","121","4.5"
"4/25/2010","-6.5432","-80.9164","27","4.5"
"4/25/2010","-6.8177","-72.8679","27","5.6"
"4/26/2010","-17.1593","-69.3432","36","4.9"
"4/26/2010","-16.2007","-73.8787","102","5.1"
"4/26/2010","-13.6362","-76.3474","51","4.8"
"4/26/2010","-12.7265","-76.9799","36","5"
"4/26/2010","-8.4771","-75.7144","142","5.2"
"4/27/2010","-10.0254","-75.4167","58","4.6"
"4/27/2010","-16.0396","-73.9239","29","4.5"
"5/2/2010","-13.2946","-75.0768","32","4.5"
"5/2/2010","-7.1067","-75.4493","136","4.6"
"5/3/2010","-4.3918","-80.8877","28","4.9"
"5/4/2010","-12.995","-74.886","101","4.5"
"5/6/2010","-18.3431","-71.2708","25","6.6"
"5/6/2010","-18.2422","-71.1773","38","4.9"
"5/6/2010","-18.2205","-71.2499","28","5"
"5/6/2010","-18.4935","-71.4076","32","4.6"
"5/6/2010","-7.8325","-76.3994","155","4.5"
"5/11/2010","-15.6636","-75.5713","37","4.6"
"5/11/2010","-5.9669","-77.3138","92","4.5"
"5/12/2010","-13.666","-74.7961","103","4.5"
"5/13/2010","-11.5764","-73.0169","57","4.7"
"5/14/2010","-14.55","-73.4631","76","4.5"
"5/15/2010","-12.9184","-75.2479","84","4.8"
"5/16/2010","-7.7381","-81.2263","28","4.5"
"5/17/2010","-12.1944","-76.1268","108","4.5"
"5/19/2010","-5.6126","-77.786","122","6.3"
"5/19/2010","-14.4833","-76.2774","11","4.7"
"5/20/2010","-18.405","-70.707","35","4.8"
"5/22/2010","-13.337","-69.746","595","4.6"
"5/22/2010","-14.4489","-76.2028","30","4.6"
"5/22/2010","-13.3447","-76.599","61","4.9"
"5/23/2010","-14.061","-74.6083","103","6.2"
"5/24/2010","-17.234","-69.6495","206","4.9"
"5/24/2010","-15.7779","-72.2742","120","4.8"
"5/24/2010","-8.5197","-72.3406","632","6.6"
"5/24/2010","-14.4982","-76.2391","43","4.5"
"5/25/2010","-14.5101","-76.2536","22","4.5"
"5/27/2010","-8.079","-81.3885","31","4.7"
"5/27/2010","-10.6847","-79.5064","55","4.9"
"5/28/2010","-9.0006","-74.5924","189","4.6"
"5/29/2010","-16.6962","-73.2661","60","4.9"
"5/29/2010","-14.5546","-75.4024","48","4.9"
"5/29/2010","-7.7011","-81.6715","18","4.5"
"5/29/2010","-3.4144","-78.3558","163","4.5"
"5/30/2010","-15.4148","-73.5944","109","4.9"
"6/3/2010","-11.1739","-80.2559","55","4.7"
"6/4/2010","-15.402","-70.2206","190","5"
"6/4/2010","-13.7822","-74.7159","99","4.5"
"6/5/2010","-16.9542","-72.7449","15","4.6"
"6/5/2010","-5.075","-80.8811","5","4.5"
"6/6/2010","-16.2812","-72.9178","66","4.8"
"6/6/2010","-11.1172","-79.5296","39","4.9"
"6/6/2010","-16.5731","-74.1674","46","4.7"
"6/8/2010","-12.8652","-75.4373","42","4.8"
"6/8/2010","-9.1796","-79.4398","41","4.5"
"6/8/2010","-15.79","-75.042","46","4.6"
"6/8/2010","-17.5192","-72.8208","37","5.2"
"6/9/2010","-15.1801","-71.0769","185","5.3"
"6/10/2010","-12.9544","-75.1672","81","4.5"
"6/10/2010","-15.6438","-71.1937","193","5"
"6/13/2010","-7.713","-76.3389","166","4.5"
"6/16/2010","-16.2005","-72.8674","99","4.7"
"6/16/2010","-8.2897","-81.8207","23","4.5"
"6/19/2010","-16.3267","-73.9389","40","4.9"
"6/21/2010","-14.6015","-75.8199","47","4.7"
"6/23/2010","-17.311","-69.34","166","4.2"
"6/23/2010","-15.877","-69.9556","232","4.7"
"6/25/2010","-15.8573","-72.784","26","4.5"
"6/25/2010","-16.7686","-72.2435","45","4.5"
"6/26/2010","-6.0932","-78.8207","36","4.5"
"6/26/2010","-12.1167","-70.9107","54","4.6"
"6/26/2010","-4.991","-77.826","114","5.4"
"6/26/2010","-14.132","-74.6176","105","4.8"
"6/26/2010","-10.1963","-80.0552","55","5.1"
"6/27/2010","-16.2121","-73.9","48","4.6"
"6/30/2010","-18.5687","-72.4931","41","4.5"
"6/30/2010","-7.9727","-80.0785","49","4.5"
"7/1/2010","-16.7934","-73.9243","23","4.7"
"7/2/2010","-16.4304","-74.1707","53","4.5"
"7/2/2010","-6.0153","-75.3375","102","4.9"
"7/4/2010","-8.3597","-80.628","47","5.9"
"7/4/2010","-4.9954","-80.2754","36","4.6"
"7/4/2010","-15.7925","-75.2438","56","4.5"
"7/4/2010","-9.76","-80.0001","24","5"
"7/6/2010","-8.2836","-81.2553","44","5.3"
"7/7/2010","-9.7581","-74.9178","124","4.5"
"7/7/2010","-15.749","-73.4285","90","4.6"
"7/8/2010","-4.7642","-80.8084","28","4.5"
"7/11/2010","-15.1205","-73.6197","92","5.1"
"7/11/2010","-9.321","-78.2435","78","4.6"
"7/12/2010","-15.6913","-73.6381","55","4.5"
"7/12/2010","-17.4178","-70.4121","107","5.1"
"7/13/2010","-17.6602","-73.5863","16","4.5"
"7/13/2010","-9.6846","-74.8282","128","4.9"
"7/15/2010","-9.3549","-78.3717","56","4.6"
"7/17/2010","-16.5137","-73.7629","41","4.9"
"7/17/2010","-8.5537","-79.5318","61","4.5"
"7/17/2010","-8.2441","-79.7865","55","4.5"
"7/18/2010","-14.4512","-76.6696","11","4.7"
"7/19/2010","-10.9758","-78.196","33","4.6"
"7/22/2010","-16.3483","-75.1693","32","4.6"
"7/24/2010","-12.9853","-76.0485","91","4.6"
"7/27/2010","-18.1268","-72.8374","49","4.5"
"7/28/2010","-10.566","-75.1535","170","4.5"
"7/28/2010","-14.8076","-73.8266","100","4.5"
"7/28/2010","-15.4728","-74.4384","34","4.6"
"7/29/2010","-4.0336","-77.9758","50","4.5"
"7/29/2010","-15.0796","-74.8183","56","4.7"
"7/29/2010","-8.904","-75.7174","143","4.8"
"7/30/2010","-8.7576","-79.5351","57","4.5"
"7/31/2010","-17.1531","-69.26","169","4.7"
"7/31/2010","-9.1978","-75.261","153","4.5"
"8/2/2010","-8.59","-74.9504","194","4.9"
