"magnitude","latitude","longitude","depth"
"4.4","37.3763","43.9859","10"
"4.4","37.329","43.9618","10"
"4.2","38.3805","39.0214","10"
"4.2","36.3336","28.3997","71.016"
"4.6","38.1995","38.0744","10"
"4.9","41.0715","33.7513","10"
"4.1","37.992","37.6592","10"
"4.1","36.9512","28.9794","10"
"4.2","36.346","27.5437","90.271"
"4.2","36.3343","36.1845","10"
"4.2","39.9108","39.2903","10"
"4.2","40.73","29.0587","12.447"
"4.6","36.1922","36.0589","10"
"4.1","37.1005","36.7291","9.113"
"5.1","40.4371","28.848","10.117"
"4.5","38.3501","37.6095","10"
"4.7","38.1529","38.5763","10"
"5.3","38.0841","38.552","10"
"4.5","38.1772","38.749","10"
"4.1","37.9535","36.6096","2.323"
"4.2","36.3438","27.6584","9.996"
"4.3","39.4045","44.7473","15.041"
"4.3","37.6939","29.9412","10"
"4.2","36.2482","31.915","100.268"
"4.2","36.9197","27.047","10"
"4.6","36.5969","36.4173","10"
"4.4","37.0154","30.2291","102.216"
"4.1","40.4965","27.5314","11.827"
"4.4","38.0188","36.3493","10"
"4.3","38.1561","38.6903","9.359"
"4.2","38.2054","27.6496","11.712"
"4.4","37.843","36.3173","6.207"
"4.1","37.4969","37.232","10"
"4.6","40.9045","31.7104","10"
"4.5","38.8669","43.4631","10"
"4.3","38.2782","38.1622","10"
"4.3","37.9536","38.1279","10"
"4.4","37.8482","36.6379","7.098"
"4.1","36.0004","35.9839","10"
"4.1","36.9464","27.0389","8.956"
"4.3","40.5347","36.6845","10"
"4.5","37.8997","36.359","6.835"
"4.4","37.9532","27.0764","12.09"
"4.8","38.967","32.9223","7.802"
"4.4","36.3227","27.8094","67.601"
"4.8","38.2125","38.1815","10"
"4.3","39.253","40.3487","10"
"4.7","38.4319","36.6586","14"
"4.3","36.7359","28.1337","73.187"
"4.4","37.9856","36.4304","10.013"
"4.7","37.6374","35.4222","10"
"4.7","38.2878","38.2075","10"
"3.3","37.8939","36.2631","3.78"
"3.3","36.8127","36.8093","10"
"4.2","39.3387","40.9565","10"
"5.2","38.2665","38.2011","10"
"4.3","38.5196","40.3602","10"
"4.2","38.1363","38.4248","10"
"4.3","36.0569","36.018","10"
